Utility Characteristics,,,,,Reporting Year Incremental Annual Savings,,,,,,,,,,Incremental Life Cycle Savings,,,,,,,,,,Reporting Year Incremental Cost,,,,,,,,,,Incremental Life Cycle Costs,,,,,,,,,,Weighted Average Life,,,,
,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2016,122,Village of Arcade - (NY),NY,NYIS,175,12,17,0,204,30.0,2.1,3.0,0.0,35.1,"1,755",123,174,0,"2,052",30.0,2.1,3.0,0.0,35.1,37,7,13,0,57,0,0,0,0,0,37,7,13,0,57,0,0,0,0,0,10.000,5.000,5.000,.,
2016,150,Adrian Public Utilities Comm,MN,MISO,12,123,15,0,150,0.0,0.0,0.0,0.0,0.0,201,"1,472",182,0,"1,855",0.0,0.0,0.0,0.0,0.0,1,8,1,0,10,1,5,1,0,7,1,8,1,0,10,1,5,1,0,6,15.800,12.000,12.000,0.000,
2016,162,Aiken Electric Coop Inc,SC,SC,0,0,0,0,0,0.1,0.0,0.0,0.0,0.1,0,0,0,0,0,0.1,0.0,0.0,0.0,0.1,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,25,0,0,0,25,20.000,0.000,0.000,0.000,
2016,189,PowerSouth Energy Cooperative,AL,AEC,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,977,.,.,.,977,465,.,.,.,465,"1,966",.,.,.,"1,966",885,.,.,.,885,15.000,.,.,.,
2016,195,Alabama Power Co,AL,SOCO,"6,009","4,104","1,781",0,"11,894",3.5,5.9,0.0,0.0,9.4,"75,904","33,815","3,125",0,"1,12,844",2.0,3.0,0.1,0.0,5.1,184,0,0,0,184,"2,190","1,140",642,0,"3,972",184,0,0,0,184,"2,190","1,140",642,0,"3,972",11.740,13.110,5.000,0.000,
2016,207,City of Alameda,CA,CISO,"1,778","2,421",.,.,"4,199",0.0,0.6,.,.,0.6,"3,719","28,995",.,.,"32,714",0.0,0.6,.,.,0.6,79,454,.,.,533,318,614,.,.,932,79,454,.,.,533,318,614,.,.,931,5.000,12.000,.,.,"http://media,alamedamp.com/assets/PUB/2017/01/17-0123-5B-Energy-Efficiency-R.pdf"
2016,295,City of Alexandria - (MN),MN,MISO,351,882,"3,127",.,"4,360",0.1,0.2,0.7,.,1.0,"5,069","10,891","38,612",.,"54,572",0.1,0.2,0.7,.,1.0,46,59,208,.,313,26,33,117,.,176,46,59,208,.,313,26,33,117,.,176,14.500,12.300,12.300,.,
2016,309,City of Algona - (IA),IA,SWPP,61,158,22,.,241,0.1,0.0,0.0,.,0.1,"1,119","3,140",442,.,"4,701",0.1,0.0,0.0,.,0.1,44,46,6,.,96,16,29,8,.,53,44,46,6,.,96,16,29,8,.,53,18.000,20.000,20.000,.,
2016,329,"Allamakee-Clayton El Coop, Inc",IA,MISO,"2,106",476,.,.,"2,582",0.2,0.0,.,.,0.2,"29,804","6,744",.,.,"36,548",2.8,0.0,.,.,2.8,86,12,.,.,98,170,9,.,.,179,86,12,.,.,98,170,9,.,.,179,14.152,28.374,.,.,
2016,554,City of Ames - (IA),IA,MISO,"1,045","1,253",.,.,"2,298",1.6,0.8,.,.,2.4,"12,122","12,530",.,.,"24,652",1.3,1.1,.,.,2.4,402,256,.,.,658,75,75,.,.,150,402,256,.,.,658,75,75,.,.,150,11.600,10.000,.,.,
2016,590,City of Anaheim - (CA),CA,CISO,"13,899","16,208","6,946",.,"37,053",8.2,3.8,1.6,.,13.6,"1,81,746","1,22,243","52,390",.,"3,56,379",8.2,3.8,1.6,.,13.6,"2,589","1,411",605,.,"4,605",292,269,115,.,676,"2,589","1,411",605,.,"4,605",584,538,230,.,"1,352",13.100,7.500,7.500,.,
2016,691,City of Anoka,MN,MISO,319,"4,046",0,0,"4,365",0.1,3.0,0.0,0.0,3.1,"6,950","11,725",0,0,"18,675",3.1,7.8,0.0,0.0,10.9,23,336,0,0,359,197,25,0,0,222,425,775,0,0,"1,200","1,283",159,0,0,"1,442",7.000,7.000,0.000,0.000,
2016,733,Appalachian Power Co,VA,PJM,"10,979","8,714","8,714",0,"28,407",5.2,1.4,1.4,0.0,8.0,"1,04,084","1,14,626","1,14,626",0,"3,33,336",5.2,1.4,1.4,0.0,8.0,"2,305",469,469,0,"3,243","2,210",173,173,0,"2,556","2,305",469,469,0,"3,243","2,210",173,173,0,"2,556",9.500,13.200,13.200,0.000,
2016,733,Appalachian Power Co,WV,PJM,"16,236","29,755",920,0,"46,911",4.1,8.3,0.3,0.0,12.7,"1,08,750","4,06,120","12,560",0,"5,27,430",4.1,8.3,0.3,0.0,12.7,"2,193","1,451",45,0,"3,689","2,157","1,211",37,0,"3,405","2,193","1,451",45,0,"3,689","2,157","1,211",37,0,"3,405",6.700,13.600,13.600,0.000,
2016,803,Arizona Public Service Co,AZ,AZPS,"2,22,389","2,58,082",.,.,"4,80,471",41.5,41.0,.,.,82.5,"20,05,910","31,44,466",.,.,"51,50,376",41.5,41.0,.,.,82.5,"18,898","22,972",.,.,"41,870","15,211","11,702",.,.,"26,913","18,898","22,972",.,.,"41,870","15,211","11,702",.,.,"26,913",8.600,13.000,.,.,
2016,814,Entergy Arkansas Inc,AR,MISO,"93,635","1,05,564","54,091",.,"2,53,290",53.0,16.0,7.0,.,76.0,"9,59,843","12,52,450","6,74,091",.,"28,86,384",53.0,16.0,7.0,.,76.0,"16,800","11,972","6,551",.,"35,323","8,380","5,101","3,465",.,"16,946","16,800","11,972","6,551",.,"35,323","8,380","5,101","3,465",.,"16,946",10.251,11.864,12.462,.,http://www.apscservices.info/eeannualreports.aspx
2016,828,City of Arlington - (MN),MN,MISO,51,79,0,0,130,0.0,0.0,0.0,0.0,0.0,51,79,0,0,130,0.0,0.0,0.0,0.0,0.0,7,7,0,0,14,0,0,0,0,0,7,7,0,0,14,0,0,0,0,0,1.000,1.000,1.000,1.000,
2016,924,"Associated Electric Coop, Inc",MO,SWPP,969,"7,725",.,.,"8,694",0.4,2.5,.,.,2.9,"24,419","68,942",.,.,"93,361",9.5,12.2,.,.,21.7,"3,400",643,.,.,"4,043",.,.,.,.,.,"40,758","3,264",.,.,"44,022",.,.,.,.,.,11.720,18.000,.,.,"Per override comments, the commercial and residential sectors should not be combined. NWS 05/22/2017."
2016,963,Atlantic City Electric Co,NJ,PJM,411,.,.,.,411,0.1,.,.,.,0.1,"3,523",.,.,.,"3,523",0.1,.,.,.,0.1,"1,540",.,.,.,"1,540",298,.,.,.,298,"1,540",.,.,.,"1,540",298,.,.,.,298,9.000,.,.,.,
2016,965,Atlantic Municipal Utilities,IA,MISO,50,446,.,.,496,0.1,0.1,.,.,0.2,661,"4,553",.,.,"5,214",0.1,0.1,.,.,0.2,15,45,.,.,60,1,11,.,.,12,15,45,.,.,60,1,11,.,.,12,13.000,10.000,.,.,
