Utility Characteristics,,,,Photovoltaic,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,Total,,,,,,,,,,,,,,
,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Data Year,Utility Number,Utility Name,State,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2014,392,Alpena Power Co,MI,.,0.010,.,.,0.010,.,1,.,.,1,.,.,.,.,0.000,0.030,.,.,.,0.030,17,.,.,.,17,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.030,0.010,0.000,0.000,0.040,17,1,0,0,18,0,0,0,0,0
2014,407,Altamaha Electric Member Corp,GA,0.030,.,.,.,0.030,3,.,.,.,3,1.000,.,.,.,1.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.030,0.000,0.000,0.000,0.030,3,0,0,0,3,1,0,0,0,1
2014,554,City of Ames - (IA),IA,0.010,0.008,.,.,0.018,4,1,.,.,5,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.010,0.008,0.000,0.000,0.018,4,1,0,0,5,0,0,0,0,0
2014,562,Amicalola Electric Member Corp,GA,0.139,0.155,.,.,0.294,18,4,.,.,22,4.326,28.258,.,.,32.584,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.139,0.155,0.000,0.000,0.294,18,4,0,0,22,4,28,0,0,33
2014,590,City of Anaheim - (CA),CA,4.200,4.500,.,.,8.700,873,77,.,.,950,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,4.200,4.500,0.000,0.000,8.700,873,77,0,0,950,0,0,0,0,0
2014,599,Anchorage Municipal Light and Power,AK,.,0.018,.,.,0.018,.,1,.,.,1,.,0.000,.,.,0.000,.,0.005,.,.,0.005,.,1,.,.,1,.,0.021,.,.,0.021,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.023,0.000,0.000,0.023,0,2,0,0,2,0,0,0,0,0
2014,636,City of Anderson - (IN),IN,0.005,.,.,.,0.005,1,.,.,.,1,0.838,.,.,.,0.838,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.005,0.000,0.000,0.000,0.005,1,0,0,0,1,1,0,0,0,1
2014,689,Connexus Energy,MN,0.167,.,.,.,0.167,26,.,.,.,26,.,.,.,.,0.000,0.088,.,.,.,0.088,7,.,.,.,7,.,.,.,.,0.000,.,.,0.160,.,0.160,.,.,1,.,1,.,.,.,.,0.000,0.255,0.000,0.160,0.000,0.415,33,0,1,0,34,0,0,0,0,0
2014,691,City of Anoka,MN,0.008,.,.,.,0.008,2,.,.,.,2,8.000,.,.,.,8.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.008,0.000,0.000,0.000,0.008,2,0,0,0,2,8,0,0,0,8
2014,694,Anza Electric Coop Inc,CA,0.143,.,.,.,0.143,30,.,.,.,30,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.143,0.000,0.000,0.000,0.143,30,0,0,0,30,0,0,0,0,0
