Utility Characteristics,,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,Capacity MW,,,,,,Customers,,,,,Storage Capacity (MW),,,,,Storage Customers,,,,,Virtual Capacity (MW),,,,,Virtual Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Year,State,Utility Number,Utility Name,BA Code,Type,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2017,FL,6616,Fort Pierce Utilities Authority,FMPP,AC,0.060,0.007,.,.,0.067,11,3,.,.,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28.999,2.568,.,.,31.567,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.060,0.007,0.000,0.000,0.067,11,3,0,0,14,28.999,2.568,0.000,0.000,31.567
2017,FL,6909,Gainesville Regional Utilities,GVL,DC,1.568,4.307,.,.,5.875,236,75,.,.,311,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,79.000,217.000,.,.,296.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.568,4.307,0.000,0.000,5.875,236,75,0,0,311,79.000,217.000,0.000,0.000,296.000
2017,FL,7264,"Glades Electric Coop, Inc",SEC,AC,0.176,.,.,.,0.176,29,.,.,.,29,0.005,.,.,.,0.005,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0,106.131,.,.,.,106.131,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.176,0.000,0.000,0.000,0.176,29,0,0,0,29,106.131,0.000,0.000,0.000,106.131
2017,FL,7593,City of Green Cove Springs,FMPP,DC,0.046,0.098,.,.,0.144,10,1,.,.,11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18.184,0.010,.,.,18.194,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.046,0.098,0.000,0.000,0.144,10,1,0,0,11,18.184,0.010,0.000,0.000,18.194
2017,FL,7785,"Gulf Coast Electric Coop, Inc",AEC,DC,0.113,0.049,.,.,0.162,13,2,.,.,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.113,0.049,0.000,0.000,0.162,13,2,0,0,15,0.000,0.000,0.000,0.000,0.000
2017,FL,7801,Gulf Power Co,SOCO,AC,4.625,0.585,.,.,5.210,771,113,.,.,884,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,243.052,33.758,.,.,276.810,0.002,0.012,.,.,0.014,1,5,.,.,6,.,0.586,.,.,0.586,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,4.627,0.597,0.000,0.000,5.224,772,118,0,0,890,243.052,34.344,0.000,0.000,277.396
2017,FL,8276,Havana Power & Light Company,FPC,AC,.,0.400,.,.,0.400,.,3,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20.000,.,.,20.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.400,0.000,0.000,0.400,0,3,0,0,3,0.000,20.000,0.000,0.000,20.000
2017,FL,8795,City of Homestead - (FL),HST,AC,0.140,0.021,.,.,0.161,19,1,.,.,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4.500,.,.,.,4.500,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,0.000,.,.,0.000,0.140,0.021,0.000,0.000,0.161,19,1,0,0,20,4.500,0.000,0.000,0.000,4.500
2017,FL,9616,Beaches Energy Services,FPL,DC,0.646,0.144,.,.,0.790,73,9,.,.,82,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23.980,8.330,.,.,32.310,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.646,0.144,0.000,0.000,0.790,73,9,0,0,82,23.980,8.330,0.000,0.000,32.310
2017,FL,9617,JEA,JEA,DC,8.363,1.489,.,.,9.852,"1,144",82,.,.,"1,226",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,868.946",172.612,.,.,"5,041.558",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,8.363,1.489,0.000,0.000,9.852,"1,144",82,0,0,"1,226","4,868.946",172.612,0.000,0.000,"5,041.558"
2017,FL,10226,City of Key West - (FL),FMPP,DC,0.208,0.152,.,.,0.360,32,7,.,.,39,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,114.710,35.110,.,.,149.820,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.208,0.152,0.000,0.000,0.360,32,7,0,0,39,114.710,35.110,0.000,0.000,149.820
2017,FL,10376,Kissimmee Utility Authority,FMPP,DC,0.926,0.081,0.000,0.000,1.007,152,8,0,0,160,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,383.000,18.100,.,.,401.100,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.926,0.081,0.000,0.000,1.007,152,8,0,0,160,383.000,18.100,0.000,0.000,401.100
2017,FL,10623,City of Lakeland - (FL),FMPP,AC,0.837,0.331,0.018,.,1.186,167,59,1,.,227,0.002,.,.,.,0.002,2,.,0,.,2,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.837,0.331,0.018,0.000,1.186,167,59,1,0,227,0.000,0.000,0.000,0.000,0.000
2017,FL,10857,"Lee County Electric Coop, Inc",FPL,AC,2.346,0.295,.,.,2.641,393,33,.,.,426,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.346,0.295,0.000,0.000,2.641,393,33,0,0,426,0.000,0.000,0.000,0.000,0.000
2017,FL,10868,City of Leesburg - (FL),FPC,AC,0.166,.,.,.,0.166,34,.,.,.,34,.,.,.,.,0.000,.,.,.,.,0,0.166,.,.,.,0.166,34,.,.,.,34,80.399,.,.,.,80.399,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.332,0.000,0.000,0.000,0.332,68,0,0,0,68,80.399,0.000,0.000,0.000,80.399
2017,FL,13485,New Smyrna Beach City of,NSB,DC,0.226,0.013,.,.,0.239,50,3,.,.,53,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.124,0.008,.,.,0.132,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.226,0.013,0.000,0.000,0.239,50,3,0,0,53,0.124,0.008,0.000,0.000,0.132
2017,FL,13955,City of Ocala,FMPP,DC,0.358,1.051,.,.,1.409,56,70,.,.,126,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.358,1.051,0.000,0.000,1.409,56,70,0,0,126,0.000,0.000,0.000,0.000,0.000
2017,FL,14606,"Peace River Electric Coop, Inc",SEC,AC,1.240,0.110,.,.,1.350,176,5,.,.,181,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,740.000,71.000,.,.,811.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.240,0.110,0.000,0.000,1.350,176,5,0,0,181,740.000,71.000,0.000,0.000,811.000
2017,FL,14610,Orlando Utilities Comm,FMPP,AC,4.814,3.349,.,.,8.163,683,31,.,.,714,0.054,.,.,.,0.054,1,.,.,.,1,0.400,.,.,.,0.400,37,.,.,.,37,"3,080.409",97.583,.,.,"3,177.992",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,5.214,3.349,0.000,0.000,8.563,720,31,0,0,751,"3,080.409",97.583,0.000,0.000,"3,177.992"
2017,FL,15566,City of Quincy - (FL),FPC,AC,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000
2017,FL,18004,City of Starke - (FL),FPL,DC,0.016,0.038,.,.,0.054,2,3,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.016,0.038,0.000,0.000,0.054,2,3,0,0,5,0.000,0.000,0.000,0.000,0.000
2017,FL,18304,"Sumter Electric Coop, Inc",SEC,DC,2.442,0.184,.,.,2.626,644,58,.,.,702,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,441.000",184.000,.,.,"2,625.000",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.442,0.184,0.000,0.000,2.626,644,58,0,0,702,"2,441.000",184.000,0.000,0.000,"2,625.000"
2017,FL,18360,Suwannee Valley Elec Coop Inc,SEC,AC,0.231,0.046,.,.,0.277,38,1,.,.,39,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,124.800,31.774,.,.,156.574,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.231,0.046,0.000,0.000,0.277,38,1,0,0,39,124.800,31.774,0.000,0.000,156.574
2017,FL,18445,City of Tallahassee - (FL),TAL,DC,0.458,1.220,.,.,1.678,88,143,.,.,231,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.458,1.220,0.000,0.000,1.678,88,143,0,0,231,0.000,0.000,0.000,0.000,0.000
2017,FL,18449,"Talquin Electric Coop, Inc",SEC,AC,0.285,0.409,.,.,0.694,75,19,.,.,94,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,248.000,147.000,.,.,395.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.285,0.409,0.000,0.000,0.694,75,19,0,0,94,248.000,147.000,0.000,0.000,395.000
2017,FL,18454,Tampa Electric Co,TEC,DC,13.073,5.496,0.564,.,19.133,"1,721",119,3,.,"1,843",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,354.904,"1,825.883",70.828,.,"2,251.615",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,0.050,.,.,0.050,.,1,.,.,1,.,.,.,.,0.000,13.073,5.546,0.564,0.000,19.183,"1,721",120,3,0,"1,844",354.904,"1,825.883",70.828,0.000,"2,251.615"
2017,FL,19161,"Tri-County Electric Coop, Inc",SEC,DC,0.139,.,.,.,0.139,19,.,.,.,19,.,.,.,.,0.000,.,.,.,.,0,0.000,.,.,.,0.000,0,.,.,.,0,75.416,.,.,.,75.416,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.139,0.000,0.000,0.000,0.139,19,0,0,0,19,75.416,0.000,0.000,0.000,75.416
2017,FL,19804,City of Vero Beach - (FL),FMPP,AC,0.391,.,.,.,0.391,42,.,.,.,42,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,18.630,.,.,.,18.630,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.391,0.000,0.000,0.000,0.391,42,0,0,0,42,18.630,0.000,0.000,0.000,18.630
2017,FL,20371,"West Florida El Coop Assn, Inc",AEC,AC,0.141,.,.,.,0.141,24,.,.,.,24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.074,.,.,.,0.074,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.141,0.000,0.000,0.000,0.141,24,0,0,0,24,0.074,0.000,0.000,0.000,0.074
2017,FL,20885,Withlacoochee River Elec Coop,SEC,AC,3.118,0.229,0.224,0.000,3.571,533,31,4,0,568,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,455.400,193.104,1.377,0.000,649.881,0.004,0.000,0.000,0.000,0.004,1,0,0,0,1,0.284,0.000,0.000,0.000,0.284,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,3.122,0.229,0.224,0.000,3.575,534,31,4,0,569,455.684,193.104,1.377,0.000,650.165
2017,FL,31833,Okefenoke Rural El Member Corp,SOCO,AC,0.109,.,.,.,0.109,17,.,.,.,17,.,.,.,.,0.000,.,.,.,.,0,0.108,.,.,.,0.108,44,.,.,.,44,0.056,.,.,.,0.056,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.217,0.000,0.000,0.000,0.217,61,0,0,0,61,0.056,0.000,0.000,0.000,0.056
2017,FL,58124,City of Winter Park - (FL),FPC,AC,0.327,0.186,.,.,0.513,44,5,.,.,49,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,159.021,157.236,0.000,0.000,316.257,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.327,0.186,0.000,0.000,0.513,44,5,0,0,49,159.021,157.236,0.000,0.000,316.257
2017,FL,99999,Adjustment 2017,AEC,,-0.020,-0.009,.,.,-0.028,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.020,-0.009,.,.,-0.028,.,.,.,.,.,.,.,.,.,.
2017,FL,99999,Adjustment 2017,FMPP,,-0.268,-0.241,0.000,0.000,-0.509,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.268,-0.241,0.000,0.000,-0.509,.,.,.,.,.,.,.,.,.,.
2017,FL,99999,Adjustment 2017,FPL,,-0.115,-0.032,.,.,-0.147,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.115,-0.032,.,.,-0.147,.,.,.,.,.,.,.,.,.,.
2017,FL,99999,Adjustment 2017,GVL,,-0.273,-0.751,.,.,-1.025,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.273,-0.751,.,.,-1.025,.,.,.,.,.,.,.,.,.,.
2017,FL,99999,Adjustment 2017,JEA,,-1.459,-0.260,.,.,-1.718,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1.459,-0.260,.,.,-1.718,.,.,.,.,.,.,.,.,.,.
2017,FL,99999,Adjustment 2017,NSB,,-0.039,-0.002,.,.,-0.042,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.039,-0.002,.,.,-0.042,.,.,.,.,.,.,.,.,.,.
2017,FL,99999,Adjustment 2017,SEC,,-0.519,-0.047,.,.,-0.566,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.519,-0.047,.,.,-0.566,.,.,.,.,.,.,.,.,.,.
2017,FL,99999,Adjustment 2017,TAL,,-0.080,-0.213,.,.,-0.293,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.080,-0.213,.,.,-0.293,.,.,.,.,.,.,.,.,.,.
2017,FL,99999,Adjustment 2017,TEC,,-2.280,-0.959,-0.098,.,-3.337,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-2.280,-0.959,-0.098,.,-3.337,.,.,.,.,.,.,.,.,.,.
2017,GA,308,City of Acworth - (GA),SOCO,AC,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,0.025,.,.,.,0.025,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.025,0.000,0.000,0.000,0.025,1,0,0,0,1,0.000,0.000,0.000,0.000,0.000
2017,GA,407,Altamaha Electric Member Corp,SOCO,AC,0.010,.,.,.,0.010,5,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.010,0.000,0.000,0.000,0.010,5,0,0,0,5,0.000,0.000,0.000,0.000,0.000
2017,GA,562,Amicalola Electric Member Corp,SOCO,AC,0.365,0.022,0.000,0.000,0.387,36,5,0,0,41,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11.188,1.809,0.000,0.000,12.997,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.365,0.022,0.000,0.000,0.387,36,5,0,0,41,11.188,1.809,0.000,0.000,12.997
2017,GA,2812,City of Calhoun - (GA),SOCO,AC,.,0.030,.,.,0.030,.,1,.,.,1,.,0.000,.,.,0.000,.,0,.,.,0,.,0.000,.,.,0.000,.,0,.,.,0,.,16.750,.,.,16.750,.,0.000,.,.,0.000,.,0,.,.,0,.,0.000,.,.,0.000,.,0.000,.,.,0.000,.,0,.,.,0,.,0.000,.,.,0.000,0.000,0.030,0.000,0.000,0.030,0,1,0,0,1,0.000,16.750,0.000,0.000,16.750
2017,GA,2903,Canoochee Electric Member Corp,SOCO,AC,0.085,.,.,.,0.085,11,.,.,.,11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,124.170,.,.,.,124.170,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.085,0.000,0.000,0.000,0.085,11,0,0,0,11,124.170,0.000,0.000,0.000,124.170
2017,GA,3081,Carroll Electric Member Corp - (GA),SOCO,AC,0.094,.,.,.,0.094,15,.,.,.,15,0.010,.,.,.,0.010,2,.,.,.,2,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.094,0.000,0.000,0.000,0.094,15,0,0,0,15,0.000,0.000,0.000,0.000,0.000
2017,GA,3108,City of Cartersville - (GA),SOCO,AC,.,.,0.400,.,0.400,.,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.000,0.400,0.000,0.400,0,0,1,0,1,0.000,0.000,0.000,0.000,0.000
2017,GA,3248,Central Georgia El Member Corp,SOCO,AC,0.103,0.064,.,.,0.167,18,2,.,.,20,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,69.795,1.382,.,.,71.177,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.103,0.064,0.000,0.000,0.167,18,2,0,0,20,69.795,1.382,0.000,0.000,71.177
2017,GA,3843,Coastal Electric Member Corp,SOCO,DC,0.036,.,.,.,0.036,9,.,.,.,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23.453,.,.,.,23.453,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.036,0.000,0.000,0.000,0.036,9,0,0,0,9,23.453,0.000,0.000,0.000,23.453
2017,GA,3916,Cobb Electric Membership Corp,SOCO,AC,0.384,0.259,.,.,0.643,60,10,.,.,70,.,.,.,.,0.000,.,.,.,.,0,0.375,.,.,.,0.375,125,.,.,.,125,859.138,31.091,.,.,890.229,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.759,0.259,0.000,0.000,1.018,185,10,0,0,195,859.138,31.091,0.000,0.000,890.229
2017,GA,4432,Coweta-Fayette El Member Corp,SOCO,AC,0.140,0.000,0.000,0.000,0.140,28,0,0,0,28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31.380,.,.,.,31.380,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.140,0.000,0.000,0.000,0.140,28,0,0,0,28,31.380,0.000,0.000,0.000,31.380
2017,GA,4538,Crisp County Power Comm,SOCO,AC,.,0.030,.,.,0.030,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9.562,.,.,9.562,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.030,0.000,0.000,0.030,0,1,0,0,1,0.000,9.562,0.000,0.000,9.562
2017,GA,5905,Excelsior Electric Member Corp,SOCO,AC,0.055,0.020,.,.,0.075,5,1,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12.000,0.800,.,.,12.800,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.055,0.020,0.000,0.000,0.075,5,1,0,0,6,12.000,0.800,0.000,0.000,12.800
2017,GA,6411,Flint Electric Membership Corp,SOCO,AC,0.156,0.140,0.000,0.000,0.296,26,1,0,0,27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.074,.,.,.,0.074,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.156,0.140,0.000,0.000,0.296,26,1,0,0,27,0.074,0.000,0.000,0.000,0.074
2017,GA,7090,GreyStone Power Corporation,SOCO,AC,0.150,0.030,.,.,0.180,30,5,.,.,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.150,0.030,0.000,0.000,0.180,30,5,0,0,35,0.000,0.000,0.000,0.000,0.000
2017,GA,7450,Grady Electric Membership Corp,SOCO,AC,0.047,0.020,.,.,0.067,6,1,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.047,0.020,0.000,0.000,0.067,6,1,0,0,7,0.000,0.000,0.000,0.000,0.000
2017,GA,7887,Habersham Electric Membership Corp,SOCO,AC,0.221,0.081,.,.,0.302,30,1,.,.,31,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.221,0.081,0.000,0.000,0.302,30,1,0,0,31,0.000,0.000,0.000,0.000,0.000
