Utility Characteristics,,,,,Reporting Year Incremental Annual Savings,,,,,,,,,,Incremental Life Cycle Savings,,,,,,,,,,Reporting Year Incremental Cost,,,,,,,,,,Incremental Life Cycle Costs,,,,,,,,,,Weighted Average Life,,,,
,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2024,1579,PUD No 1 of Benton County,WA,BPAT,656,"1,714","1,386",.,"3,756",0.2,1.0,0.4,.,1.5,"13,580","21,168","15,117",.,"49,865",0.2,1.0,0.4,.,1.5,298,304,195,.,797,259,138,40,.,436,298,304,195,.,797,259,138,40,.,436,15.000,12.340,11.080,.,
2024,1613,Berkeley Electric Coop Inc,SC,SC,610,962,0,0,"1,572",1.2,0.2,0.0,0.0,1.4,"6,241","9,620",0,0,"15,861",1.2,0.2,0.0,0.0,1.4,175,48,0,0,222,110,1,0,0,111,175,48,0,0,222,110,1,0,0,111,11.000,10.000,0.000,0.000,
2024,1723,"Big Bend Electric Coop, Inc",WA,BPAT,57,35,"1,604",0,"1,696",0.0,0.0,0.1,0.0,0.2,"1,344",454,"14,821",0,"16,618",0.0,0.0,0.1,0.0,0.1,55,11,480,0,546,37,8,210,0,255,55,11,480,0,546,37,8,210,0,255,23.450,13.080,9.240,0.000,Reported to BPA and included in their reports.
2024,1889,Blue Ridge Elec Member Corp - (NC),NC,DUK,146,.,.,.,146,1.0,.,.,.,1.0,"1,466",.,.,.,"1,466",1.0,.,.,.,1.0,22,.,.,.,22,.,.,.,.,.,22,.,.,.,22,.,.,.,.,.,7.000,.,.,.,
2024,2008,City of Boulder City - (NV),NV,WALC,79,.,.,.,79,.,.,.,.,.,"1,185",.,.,.,"1,185",.,.,.,.,.,21,.,.,.,21,.,.,.,.,.,21,.,.,.,21,11,.,.,.,11,15.000,.,.,.,
2024,2089,Bozrah Light & Power Company,CT,ISNE,28,269,0,0,297,0.0,0.0,0.0,0.0,0.0,303,"2,196",0,0,"2,499",0.0,0.0,0.0,0.0,0.0,97,113,0,0,210,3,36,0,0,39,97,113,0,0,210,3,36,0,0,39,10.600,8.200,0.000,0.000,
2024,2285,City of Brookings - (SD),SD,WACM,193,236,789,0,"1,218",0.0,0.1,0.3,0.0,0.4,"2,693","3,299","11,044",0,"17,036",0.0,0.1,0.3,0.0,0.4,16,19,63,0,97,20,23,76,0,119,16,19,63,0,97,20,23,76,0,119,13.972,13.992,13.992,0.000,
2024,2442,City of Bryan - (TX),TX,ERCO,332,609,.,.,940,0.1,0.2,.,.,0.3,"3,317","6,087",.,.,"9,404",0.1,0.1,.,.,0.2,95,45,.,.,140,.,.,.,.,.,95,45,.,.,140,0,0,.,.,0,10.000,10.000,.,.,
2024,2507,City of Burbank Water and Power,CA,LDWP,"3,094","4,689",.,.,"7,783",0.2,1.3,.,.,1.5,"10,367","69,255",.,.,"79,622",0.2,1.3,.,.,1.5,869,394,.,.,"1,263",73,561,.,.,634,869,394,.,.,"1,263",73,561,.,.,634,3.450,14.810,.,.,
2024,2548,City of Burlington Electric - (VT),VT,ISNE,511,738,0,0,"1,249",0.1,0.1,0.0,0.0,0.1,"8,729","12,767",0,0,"21,496",0.1,0.1,0.0,0.0,0.1,597,571,0,0,"1,167",367,556,0,0,923,597,571,0,0,"1,167",367,556,0,0,923,17.080,17.300,0.000,0.000,www.burlingtonelectric.com
2024,2643,Butler Public Power District - (NE),NE,SWPP,68,276,173,0,516,0.0,0.1,0.0,0.0,0.1,933,"3,031","1,300",0,"5,264",0.0,0.1,0.0,0.0,0.1,19,27,9,0,55,1,24,4,0,30,19,27,9,0,55,1,24,4,0,30,13.769,11.000,7.522,0.000,
2024,3046,Duke Energy Progress - (NC),NC,CPLE,"2,14,409","68,946",.,.,"2,83,354",37.9,14.1,.,.,52.0,"13,18,921","9,56,529",.,.,"22,75,451",37.9,14.1,.,.,52.0,"31,385","9,683",.,.,"41,067","15,960","7,790",.,.,"23,750","31,385","9,683",.,.,"41,067","15,960","7,790",.,.,"23,750",6.151,13.874,.,.,
2024,3046,Duke Energy Progress - (NC),SC,CPLE,"35,372","11,374",.,.,"46,746",6.3,2.3,.,.,8.6,"2,17,586","1,57,801",.,.,"3,75,388",6.3,2.3,.,.,8.6,"5,178","1,597",.,.,"6,775","2,633","1,285",.,.,"3,918","5,178","1,597",.,.,"6,775","2,633","1,285",.,.,"3,918",6.151,13.874,.,.,
2024,3107,Carteret-Craven El Member Corp,NC,CPLE,"2,060",185,.,.,"2,245",0.2,0.0,.,.,0.2,"2,125","3,145",.,.,"5,270",0.3,0.0,.,.,0.3,1,0,.,.,1,16,178,.,.,194,1,0,.,.,1,16,178,.,.,194,1.660,17.000,.,.,"5a.  customer rebates for heat pump water heater purchases and installations were $1,100 6a,  our internal expenses associated with running the residential energy efficiency programs were $15,904.00 5b no commercial incentives were provided 6b Internal expenses for providing programs to commercial were $177,763.09 -this is program for changing out street lights for towns to LED lighting"
2024,3203,Cedar Falls Utilities,IA,MISO,553,582,143,0,"1,278",0.3,0.1,0.1,0.0,0.5,"8,673","11,320","2,358",0,"22,351",0.3,0.1,0.1,0.0,0.5,122,52,4,0,179,358,18,4,0,380,122,52,4,0,179,358,18,4,0,380,15.542,13.812,16.538,0.000,
2024,3205,Cedar-Knox Public Power Dist,NE,SWPP,139,252,103,.,495,0.0,0.0,0.0,.,0.1,"1,938","2,777",739,.,"5,454",0.0,0.0,0.0,.,0.1,50,8,6,.,65,7,12,4,.,22,50,8,6,.,65,7,12,4,.,22,13.927,11.000,7.172,.,No website; information is given by email from wholesale provider
2024,3240,Central Electric Coop Inc - (OR),OR,BPAT,541,785,489,0,"1,815",0.1,0.1,0.1,0.0,0.3,"10,650","9,492","5,350",0,"25,492",0.1,0.1,0.1,0.0,0.3,871,153,190,0,"1,214",0,0,0,0,0,871,153,190,0,"1,214",.,.,.,.,.,19.700,12.090,10.950,0.000,
2024,3245,"Central Florida Elec Coop, Inc",FL,SEC,78,32,.,.,110,0.0,0.0,.,.,0.0,944,366,.,.,"1,310",0.0,.,.,.,0.0,.,.,.,.,.,93,41,.,.,134,.,.,.,.,.,93,41,.,.,134,12.086,11.420,.,.,
2024,3248,Central Georgia El Member Corp,GA,SOCO,126,.,.,.,126,0.0,.,.,.,0.0,"1,482",.,.,.,"1,482",0.0,.,.,.,0.0,11,.,.,.,11,12,.,.,.,12,11,.,.,.,11,12,.,.,.,12,10.000,.,.,.,
2024,3249,Central Hudson Gas & Elec Corp,NY,NYIS,"13,391","19,587",.,.,"32,978",.,.,.,.,.,"1,03,752","2,31,466",.,.,"3,35,218",.,.,.,.,.,583,"3,643",.,.,"4,226","1,006",468,.,.,"1,474",583,"3,643",.,.,"4,226","1,006",468,.,.,"1,474",7.748,11.817,.,.,
2024,3264,Central Lincoln People's Ut Dt,OR,BPAT,"1,160",471,5,0,"1,635",0.3,0.0,0.0,0.0,0.4,"23,950","6,627",48,0,"30,625",0.3,0.0,0.0,0.0,0.4,"2,463",152,0,0,"2,615",106,43,0,0,150,"2,463",152,0,0,"2,615",106,43,0,0,150,20.654,14.083,9.000,0.000,clpud.org
