Utility Characteristics,,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,Capacity MW,,,,,,Installations,,,,,Energy Sold Back MWh,,,,,Virtual Capacity- 1 MW and over (MW),,,,,Virtual Customers- 1 MW and over,,,,,Virtual Capacity- under 1 MW (MW),,,,,Virtual Customers- under 1 MW,,,,,PV-Paired Battery Capacity (MW),,,,,PV-Paired Installations,,,,,PV-Paired Energy Capacity (MWh),,,,,Not PV-Paired Battery Capacity (MW),,,,,Not PV-Paired Installations,,,,,Not PV-Paired Energy Capacity (MWh),,,,,Capacity MW,,,,,Installations,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Installations,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Installations,,,,,Energy Sold Back MWh,,,,
2023,AL,6491,Foley Board of Utilities,SOCO,AC,0.260,0.600,.,.,0.860,26,6,.,.,32,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.260,0.600,0.000,0.000,0.860,26,6,0,0,32,0.000,0.000,0.000,0.000,0.000
2023,AL,17646,"Southern Pine Elec Coop, Inc",SOCO,AC,0.001,.,.,.,0.001,2,.,.,.,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,0.001,.,.,.,0.001,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.002,0.000,0.000,0.000,0.002,3,0,0,0,3,0.000,0.000,0.000,0.000,0.000
2023,AL,99999,State Adjustment,SOCO,,-0.092,.,.,.,-0.092,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.092,.,.,.,-0.092,.,.,.,.,.,.,.,.,.,.
2023,AR,814,Entergy Arkansas LLC,MISO,DC,68.251,63.519,4.010,.,135.780,"6,436",258,35,.,"6,729",.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,0.007,0.002,0.006,.,0.015,1,1,2,.,4,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,68.258,63.521,4.016,0.000,135.795,"6,437",259,37,0,"6,733",0.000,0.000,0.000,0.000,0.000
2023,AR,817,Arkansas Valley Elec Coop Corp,SWPP,AC,10.888,2.114,.,.,13.002,907,16,.,.,923,"6,329.240","2,190.600",.,.,"8,519.840",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,0.001,.,.,.,0.001,1,.,.,.,1,0.190,.,.,.,0.190,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,10.889,2.114,0.000,0.000,13.003,908,16,0,0,924,"6,329.430","2,190.600",0.000,0.000,"8,520.030"
2023,AR,1586,City of Bentonville - (AR),SWPP,DC,8.200,3.900,.,.,12.100,337,13,.,.,350,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,8.200,3.900,0.000,0.000,12.100,337,13,0,0,350,0.000,0.000,0.000,0.000,0.000
2023,AR,2678,C & L Electric Coop Corp,MISO,DC,2.423,3.172,.,.,5.595,188,17,.,.,205,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.423,3.172,0.000,0.000,5.595,188,17,0,0,205,0.000,0.000,0.000,0.000,0.000
2023,AR,3093,Carroll Electric Coop Corp - (AR),SWPP,DC,16.120,.,.,.,16.120,"1,934",.,.,.,"1,934",.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,0.019,.,.,.,0.019,3,.,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,16.139,0.000,0.000,0.000,16.139,"1,937",0,0,0,"1,937",0.000,0.000,0.000,0.000,0.000
2023,AR,3712,Clay County Electric Coop Corp - (AR),MISO,AC,0.312,0.812,.,.,1.124,42,12,.,.,54,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.312,0.812,0.000,0.000,1.124,42,12,0,0,54,0.000,0.000,0.000,0.000,0.000
2023,AR,4280,Conway Corporation,MISO,AC,0.657,.,.,.,0.657,99,.,.,.,99,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.657,0.000,0.000,0.000,0.657,99,0,0,0,99,0.000,0.000,0.000,0.000,0.000
2023,AR,4509,Craighead Electric Coop Corp,MISO,AC,1.230,3.200,.,.,4.430,125,8,.,.,133,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,0.054,3.000,.,.,3.054,8,6,.,.,14,0,0,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.230,3.200,0.000,0.000,4.430,125,8,0,0,133,0.000,0.000,0.000,0.000,0.000
2023,AR,5860,Empire District Electric Co,SWPP,DC,0.898,.,.,.,0.898,123,.,.,.,123,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.898,0.000,0.000,0.000,0.898,123,0,0,0,123,0.000,0.000,0.000,0.000,0.000
2023,AR,6342,First Electric Coop Corp,MISO,AC,16.023,2.490,0.791,.,19.304,"1,731",13,7,.,"1,751",.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,16.023,2.490,0.791,0.000,19.304,"1,731",13,7,0,"1,751",0.000,0.000,0.000,0.000,0.000
2023,AR,8840,City of Hope - (AR),MISO,AC,0.201,2.231,.,.,2.432,24,35,.,.,59,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.201,2.231,0.000,0.000,2.432,24,35,0,0,59,0.000,0.000,0.000,0.000,0.000
2023,AR,9879,City Water and Light Plant,MISO,AC,0.385,0.200,0.133,.,0.718,48,3,1,.,52,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.385,0.200,0.133,0.000,0.718,48,3,1,0,52,0.000,0.000,0.000,0.000,0.000
2023,AR,12681,Mississippi County Electric Co,MISO,AC,0.098,1.000,.,.,1.098,10,4,.,.,14,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.098,1.000,0.000,0.000,1.098,10,4,0,0,14,0.000,0.000,0.000,0.000,0.000
2023,AR,13676,"North Arkansas Elec Coop, Inc",MISO,DC,3.727,.,.,.,3.727,294,.,.,.,294,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,0.013,.,.,.,0.013,5,.,.,.,5,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,3.740,0.000,0.000,0.000,3.740,299,0,0,0,299,0.000,0.000,0.000,0.000,0.000
2023,AR,13718,City of North Little Rock - (AR),MISO,AC,2.530,0.450,2.450,0.000,5.430,335,6,2,.,343,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.530,0.450,2.450,0.000,5.430,335,6,2,0,343,0.000,0.000,0.000,0.000,0.000
2023,AR,14063,Oklahoma Gas & Electric Co,SWPP,AC,4.649,2.310,0.000,0.000,6.959,587,20,0,0,607,0.000,0.000,0.000,0.000,0.000,1.779,3.131,0.004,0.000,4.914,477,406,1,0,884,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0.004,0.000,0.000,0.000,0.004,2,0,0,0,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,6.432,5.441,0.004,0.000,11.877,"1,066",426,1,0,"1,493",0.000,0.000,0.000,0.000,0.000
2023,AR,14289,Ozarks Electric Coop Corp - (AR),SWPP,AC,11.041,1.165,16.398,.,28.604,"1,502",16,12,.,"1,530",.,.,.,.,0.000,0.177,0.049,.,.,0.226,38,2,.,.,40,.,.,.,.,0.000,.,.,.,.,0,.,.,14.750,.,14.750,.,.,8,.,8,.,.,55,.,55,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,0.009,.,.,0.009,.,1,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,11.218,1.223,16.398,0.000,28.839,"1,540",19,12,0,"1,571",0.000,0.000,0.000,0.000,0.000
2023,AR,14446,Paragould Light & Water Comm,SPA,AC,0.183,.,.,.,0.183,15,.,.,.,15,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.183,0.000,0.000,0.000,0.183,15,0,0,0,15,0.000,0.000,0.000,0.000,0.000
2023,AR,14864,Petit Jean Electric Coop Corp,MISO,AC,0.817,0.450,.,.,1.267,76,1,.,.,77,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.817,0.450,0.000,0.000,1.267,76,1,0,0,77,0.000,0.000,0.000,0.000,0.000
2023,AR,17184,City of Siloam Springs - (AR),SWPP,AC,0.409,.,.,.,0.409,53,.,.,.,53,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.409,0.000,0.000,0.000,0.409,53,0,0,0,53,0.000,0.000,0.000,0.000,0.000
2023,AR,17671,Southwest Arkansas E C C,MISO,AC,1.154,0.067,.,.,1.221,114,3,.,.,117,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.154,0.067,0.000,0.000,1.221,114,3,0,0,117,0.000,0.000,0.000,0.000,0.000
2023,AR,17698,Southwestern Electric Power Co,SWPP,AC,9.195,1.782,0.734,.,11.711,"1,388",45,2,.,"1,435","6,715.713","11,703.253",469.740,.,"18,888.706",.,10.875,.,.,10.875,.,5,.,.,5,0.201,3.529,.,.,3.730,16,10,.,.,26,0.093,0.007,.,.,0.100,16,1,.,.,17,0,0,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,0.002,.,.,0.002,.,1,.,.,1,.,0.165,.,.,0.165,.,3.000,.,.,3.000,.,1,.,.,1,.,0.000,.,.,0.000,9.396,19.188,0.734,0.000,29.318,"1,404",62,2,0,"1,468","6,715.713","11,703.418",469.740,0.000,"18,888.871"
2023,AR,20963,Woodruff Electric Coop Corp,MISO,AC,0.318,2.213,.,.,2.531,28,7,.,.,35,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,0.003,.,.,.,0.003,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.321,2.213,0.000,0.000,2.534,29,7,0,0,36,0.000,0.000,0.000,0.000,0.000
2023,AR,99999,State Adjustment,MISO,,-12.854,-11.631,-0.699,.,-25.184,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-12.854,-11.631,-0.699,.,-25.184,.,.,.,.,.,.,.,.,.,.
2023,AR,99999,State Adjustment,SWPP,,-4.398,-0.680,.,.,-5.078,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-4.398,-0.680,.,.,-5.078,.,.,.,.,.,.,.,.,.,.
2023,AZ,176,Ajo Improvement Co,AZPS,AC,0.051,0.005,.,.,0.056,10,3,.,.,13,4.114,0.395,.,.,4.509,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.051,0.005,0.000,0.000,0.056,10,3,0,0,13,4.114,0.395,0.000,0.000,4.509
2023,AZ,803,Arizona Public Service Co,AZPS,DC,"1,536.355",355.519,0.000,0.000,"1,891.874","1,72,560","2,106",0,0,"1,74,666",.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,26.828,1.388,0.000,0.000,28.216,"3,225",17,0,0,"3,242",63,2,0,0,66,0.725,1.321,0.000,0.000,2.046,91,7,0,0,98,2,1,0,0,3,0.057,0.125,0.000,0.000,0.182,25,12,0,0,37,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,"1,536.412",355.644,0.000,0.000,"1,892.056","1,72,585","2,118",0,0,"1,74,703",0.000,0.000,0.000,0.000,0.000
2023,AZ,6957,"Garkane Energy Coop, Inc",WALC,DC,0.009,0.242,0.000,0.000,0.251,4,4,0,0,8,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.009,0.242,0.000,0.000,0.251,4,4,0,0,8,0.000,0.000,0.000,0.000,0.000
2023,AZ,12351,City of Mesa - (AZ),WALC,DC,0.923,0.999,.,.,1.922,151,30,.,.,181,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.923,0.999,0.000,0.000,1.922,151,30,0,0,181,0.000,0.000,0.000,0.000,0.000
