,,,,,Capacity MW,,,,,,Installations,,,,,Energy Sold Back MWh,,,,,Virtual Capacity- 1 MW and over (MW),,,,,Virtual Customers- 1 MW and over,,,,,Virtual Capacity- under 1 MW (MW),,,,,Virtual Customers- under 1 MW,,,,,PV-Paired Battery Capacity (MW),,,,,PV-Paired Installations,,,,,PV-Paired Energy Capacity (MWh),,,,,Not PV-Paired Battery Capacity (MW),,,,,Not PV-Paired Installations,,,,,Not PV-Paired Energy Capacity (MWh),,,,,Capacity MW,,,,,Installations,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Installations,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Installations,,,,,Energy Sold Back MWh,,,,
Year,State,Utility Number,Utility Name,BA Code,Type,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2024,AL,6491,Foley Board of Utilities,SOCO,AC,0.248,0.522,.,.,0.770,27,6,.,.,33,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.248,0.522,0.000,0.000,0.770,27,6,0,0,33,0.000,0.000,0.000,0.000,0.000
2024,AL,17646,"Southern Pine Elec Coop, Inc",SOCO,AC,0.001,.,.,.,0.001,2,.,.,.,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,0.001,.,.,.,0.001,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.002,0.000,0.000,0.000,0.002,3,0,0,0,3,0.000,0.000,0.000,0.000,0.000
2024,AL,99999,Adjustment 2024,SOCO,,-0.105,.,.,.,-0.105,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.105,.,.,.,-0.105,.,.,.,.,.,.,.,.,.,.
2024,AR,814,Entergy Arkansas LLC,MISO,DC,86.670,95.942,33.809,.,216.421,"7,813",340,46,.,"8,199",.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,0.007,0.002,0.006,.,0.015,1,1,2,.,4,.,.,.,.,0.000,0.022,.,.,.,0.022,1,.,.,.,1,.,.,.,.,0.000,86.699,95.944,33.815,0.000,216.458,"7,815",341,48,0,"8,204",0.000,0.000,0.000,0.000,0.000
2024,AR,817,Arkansas Valley Elec Coop Corp,SWPP,AC,11.662,2.390,.,.,14.052,979,16,.,.,995,"7,548.372","2,720.769",.,.,"10,269.141",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,0.001,.,.,.,0.001,1,.,.,.,1,0.840,.,.,.,0.840,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,11.663,2.390,0.000,0.000,14.053,980,16,0,0,996,"7,549.212","2,720.769",0.000,0.000,"10,269.981"
2024,AR,1586,City of Bentonville - (AR),SWPP,DC,10.330,5.100,.,.,15.430,413,17,.,.,430,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,10.330,5.100,0.000,0.000,15.430,413,17,0,0,430,0.000,0.000,0.000,0.000,0.000
2024,AR,2678,C & L Electric Coop Corp,MISO,DC,2.292,3.608,.,.,5.900,192,17,.,.,209,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.292,3.608,0.000,0.000,5.900,192,17,0,0,209,0.000,0.000,0.000,0.000,0.000
2024,AR,3093,Carroll Electric Coop Corp - (AR),SWPP,DC,19.360,.,.,.,19.360,"2,261",.,.,.,"2,261",.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,0.019,.,.,.,0.019,3,.,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,19.379,0.000,0.000,0.000,19.379,"2,264",0,0,0,"2,264",0.000,0.000,0.000,0.000,0.000
2024,AR,3712,Clay County Electric Coop Corp - (AR),MISO,AC,0.461,2.646,.,.,3.107,47,25,.,.,72,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.461,2.646,0.000,0.000,3.107,47,25,0,0,72,0.000,0.000,0.000,0.000,0.000
2024,AR,4280,Conway Corporation,MISO,AC,0.712,.,.,.,0.712,108,.,.,.,108,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.712,0.000,0.000,0.000,0.712,108,0,0,0,108,0.000,0.000,0.000,0.000,0.000
2024,AR,4509,Craighead Electric Coop Corp,MISO,DC,1.429,3.985,.,.,5.414,148,12,.,.,160,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,0.191,3.025,.,.,3.216,15,3,.,.,18,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.429,3.985,0.000,0.000,5.414,148,12,0,0,160,0.000,0.000,0.000,0.000,0.000
2024,AR,5860,Empire District Electric Co,SWPP,DC,1.358,0.041,.,.,1.399,166,2,.,.,168,4.091,.,.,.,4.091,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.358,0.041,0.000,0.000,1.399,166,2,0,0,168,4.091,0.000,0.000,0.000,4.091
2024,AR,6342,First Electric Coop Corp,MISO,AC,17.484,2.489,0.791,.,20.764,"1,906",13,7,.,"1,926",.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,17.484,2.489,0.791,0.000,20.764,"1,906",13,7,0,"1,926",0.000,0.000,0.000,0.000,0.000
2024,AR,8840,City of Hope - (AR),MISO,AC,0.206,2.231,.,.,2.437,25,35,.,.,60,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.206,2.231,0.000,0.000,2.437,25,35,0,0,60,0.000,0.000,0.000,0.000,0.000
2024,AR,9879,City Water and Light Plant,MISO,AC,0.429,0.200,0.133,.,0.762,53,3,1,.,57,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.429,0.200,0.133,0.000,0.762,53,3,1,0,57,0.000,0.000,0.000,0.000,0.000
2024,AR,12681,Mississippi County Electric Co,MISO,AC,0.103,1.000,.,.,1.103,11,4,.,.,15,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.103,1.000,0.000,0.000,1.103,11,4,0,0,15,0.000,0.000,0.000,0.000,0.000
