Utility Characteristics,,,,Photovoltaic,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,Total,,,,,,,,,,,,,,
,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Data Year,Utility Number,Utility Name,State,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2015,84,A & N Electric Coop,VA,0.054,0.140, , ,0.194,14,9, , ,23, , , , ,0.000,0.014,0.000, , ,0.014,6,0, , ,6, , , , ,0.000, , , , ,0.000, , , , ,0, , , , ,0.000,0.068,0.140,0.000,0.000,0.208,20,9,0,0,29,0,0,0,0,0
2015,97,Adams Electric Coop,IL,0.006, , , ,0.006,2, , , ,2, , , , ,0.000,0.018, , , ,0.018,5, , , ,5, , , , ,0.000, , , , ,0.000, , , , ,0, , , , ,0.000,0.024,0.000,0.000,0.000,0.024,7,0,0,0,7,0,0,0,0,0
2015,108,Adams-Columbia Electric Coop,WI,0.316,0.060, , ,0.376,43,3, , ,46,285.000,38.000, , ,323.000,0.020,0.050, , ,0.070,2,1, , ,3,9.000,66.000, , ,75.000, , , , ,0.000, , , , ,0, , , , ,0.000,0.336,0.110,0.000,0.000,0.446,45,4,0,0,49,294,104,0,0,398
2015,155,Agralite Electric Coop,MN,0.047, , , ,0.047,3, , , ,3,71.219, , , ,71.219,0.299, , , ,0.299,15, , , ,15,342.741, , , ,342.741, , , , ,0.000, , , , ,0, , , , ,0.000,0.346,0.000,0.000,0.000,0.346,18,0,0,0,18,414,0,0,0,414
2015,162,Aiken Electric Coop Inc,SC,0.107,0.018, , ,0.125,26,2, , ,28,64.500,19.380, , ,83.880, , , , ,0.000, , , , ,0, , , , ,0.000, , , , ,0.000, , , , ,0, , , , ,0.000,0.107,0.018,0.000,0.000,0.125,26,2,0,0,28,65,19,0,0,84
2015,176,Ajo Improvement Co,AZ, ,0.033, , ,0.033, ,3, , ,3, ,8.870, , ,8.870, , , , ,0.000, , , , ,0, , , , ,0.000, , , , ,0.000, , , , ,0, , , , ,0.000,0.000,0.033,0.000,0.000,0.033,0,3,0,0,3,0,9,0,0,9
2015,195,Alabama Power Co,AL,0.283,0.216,0.040, ,0.539,62,18,1, ,81,135.725,156.273,0.000, ,291.998, ,0.002, , ,0.002, ,1, , ,1, ,0.000, , ,0.000, , , , ,0.000, , , , ,0, , , , ,0.000,0.283,0.218,0.040,0.000,0.541,62,19,1,0,82,136,156,0,0,292
2015,201,City of Alachua - (FL),FL,0.018,0.039, , ,0.057,3,2, , ,5,0.000,0.000, , ,0.000, , , , ,0.000, , , , ,0, , , , ,0.000, , , , ,0.000, , , , ,0, , , , ,0.000,0.018,0.039,0.000,0.000,0.057,3,2,0,0,5,0,0,0,0,0
2015,207,City of Alameda,CA,1.040,1.790, , ,2.830,260,21,0,0,281,93.000,193.000,0.000,0.000,286.000, , , , ,0.000, , , , ,0, , , , ,0.000, , , , ,0.000, , , , ,0, , , , ,0.000,1.040,1.790,0.000,0.000,2.830,260,21,0,0,281,93,193,0,0,286
