Utility Characteristics,,,,,Reporting Year Incremental Annual Savings,,,,,,,,,,Incremental Life Cycle Savings,,,,,,,,,,Reporting Year Incremental Cost,,,,,,,,,,Incremental Life Cycle Costs,,,,,,,,,,Weighted Average Life,,,,
,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2015,122,Village of Arcade - (NY),NY,NYIS,291,51,.,.,342,50.0,9.0,.,.,59.0,"2,913",515,.,.,"3,428",43.9,11.9,.,.,55.8,69,20,.,.,89,0,0,.,.,0,69,20,.,.,89,0,0,.,.,0,14.000,2.000,.,.,
2015,150,Adrian Public Utilities Comm,MN,MISO,75,43,5,0,123,0.0,0.0,0.0,0.0,0.0,939,502,62,0,"1,503",0.0,0.0,0.0,0.0,0.0,5,3,1,0,9,5,3,0,0,8,5,3,1,0,9,5,3,0,0,8,12.600,11.600,11.600,0.000,
2015,195,Alabama Power Co,AL,SOCO,"6,427","4,766","1,564",.,"12,757",1.6,6.7,0.0,.,8.3,"76,540","35,075","2,789",.,"1,14,404",1.9,3.4,0.1,.,5.5,313,0,0,.,313,"2,532","1,166",593,.,"4,291",313,0,0,.,313,"2,532","1,166",593,.,"4,291",20.080,11.590,5.000,.,NA
2015,207,City of Alameda,CA,CISO,"1,941",449,.,.,"2,390",1.0,0.1,.,.,1.1,"9,369","6,678",.,.,"16,047",1.0,0.1,.,.,1.1,389,99,.,.,488,459,229,.,.,688,389,99,.,.,488,459,229,.,.,688,5.000,12.000,.,.,http:/media.alamedamp.com/assets/PUB/2016/01/16-0125-4F_SB%20103.pdf
2015,295,City of Alexandria - (MN),MN,MISO,368,771,"2,735",.,"3,874",0.1,0.1,0.5,.,0.7,"4,269","8,484","30,078",.,"42,831",0.1,0.1,0.5,.,0.7,48,39,139,.,226,43,35,123,.,201,48,39,139,.,226,43,35,123,.,201,11.600,11.000,11.000,.,
2015,309,City of Algona - (IA),IA,SWPP,224,295,412,.,931,0.2,0.1,0.1,.,0.4,"4,656","5,730","8,092",.,"18,478",0.2,0.1,0.1,.,0.4,58,46,15,.,119,17,15,8,.,40,58,46,15,.,119,17,15,8,.,41,20.800,19.500,19.600,.,
2015,329,"Allamakee-Clayton El Coop, Inc",IA,MISO,"1,850",155,.,.,"2,005",0.2,0.0,.,.,0.2,"25,980","1,878",.,.,"27,858",2.8,0.0,.,.,2.8,80,11,.,.,91,129,7,.,.,136,80,11,.,.,91,129,7,.,.,136,14.044,23.530,.,.,
2015,554,City of Ames - (IA),IA,MISO,"1,437","4,412",.,.,"5,849",1.4,1.2,.,.,2.6,"18,624","45,444",.,.,"64,068",1.2,1.1,.,.,2.3,474,430,.,.,904,80,80,.,.,160,474,430,.,.,904,80,80,.,.,160,12.960,10.300,.,.,
2015,590,City of Anaheim - (CA),CA,CISO,"11,653","12,513","5,363",.,"29,529",7.5,2.7,1.2,.,11.4,"1,65,747","1,06,102","45,472",.,"3,17,321",7.5,2.7,1.2,.,11.4,"1,949","1,294",554,.,"3,797",274,251,108,.,633,"5,264","3,752","1,497",.,"10,513",741,728,290,.,"1,759",2.700,2.900,2.700,.,
2015,691,City of Anoka,MN,MISO,"2,943",957,0,0,"3,900",1.0,2.8,0.0,0.0,3.8,"6,631","7,679",0,0,"14,310",0.6,1.0,0.0,0.0,1.6,93,61,0,0,154,221,25,0,0,246,402,439,0,0,841,"1,086",134,0,0,"1,220",7.000,7.000,0.000,0.000,
2015,733,Appalachian Power Co,VA,PJM,"2,165",0,0,0,"2,165",1.1,0.0,0.0,0.0,1.1,"20,039",0,0,0,"20,039",1.1,0.0,0.0,0.0,1.1,443,0,0,0,443,"1,016",0,0,0,"1,016",443,0,0,0,443,"1,016",0,0,0,"1,016",9.300,0.000,0.000,0.000,
2015,733,Appalachian Power Co,WV,PJM,"40,534","20,409",635,0,"61,578",0.2,0.4,0.0,0.0,0.6,"4,49,927","2,69,404","8,377",0,"7,27,708",0.2,0.4,0.0,0.0,0.6,"2,374","1,142",35,0,"3,551","2,569","1,654",51,0,"4,274","2,374","1,142",35,0,"3,551","2,569","1,654",51,0,"4,274",11.100,13.200,13.200,.,
2015,803,Arizona Public Service Co,AZ,AZPS,"2,16,774","2,43,545",0,0,"4,60,319",40.1,42.4,0.0,0.0,82.5,"18,10,014","32,54,397",0,0,"50,64,411",40.1,42.4,0.0,0.0,82.5,"18,630","19,054",0,0,"37,684","15,447","11,212",0,0,"26,659","18,630","19,054",0,0,"37,684","15,447","11,212",0,0,"26,659",7.900,14.200,.,.,
2015,814,Entergy Arkansas Inc,AR,MISO,"87,239","71,936","70,093",.,"2,29,268",23.5,12.9,9.2,.,45.6,"8,94,281","8,53,475","8,73,507",.,"26,21,263",23.5,12.9,9.2,.,45.6,"13,033","9,787","12,125",.,"34,945","7,737","5,185","5,410",.,"18,332","13,033","9,787","12,125",.,"34,945","7,737","5,185","5,410",.,"18,332",10.251,11.864,12.462,.,"http://apscservices,info/eeannualreports.aspx"
2015,828,City of Arlington - (MN),MN,MISO,201,92,0,0,293,.,.,.,.,.,201,92,0,0,293,.,.,.,.,.,11,8,0,0,19,0,0,0,0,0,11,8,0,0,19,0,0,0,0,0,1.000,1.000,1.000,1.000,
2015,924,"Associated Electric Coop, Inc",MO,SWPP,.,"7,416",.,.,"7,416",.,2.6,.,.,2.6,.,"92,927",.,.,"92,927",.,24.6,.,.,24.6,.,"3,650",.,.,"3,650",.,.,.,.,.,.,"30,320",.,.,"30,320",.,.,.,.,.,.,18.000,.,.,
2015,963,Atlantic City Electric Co,NJ,PJM,824,.,.,.,824,0.1,.,.,.,0.1,"6,940",.,.,.,"6,940",0.1,.,.,.,0.1,"1,540",.,.,.,"1,540",298,.,.,.,298,"1,540",.,.,.,"1,540",298,.,.,.,298,8.000,.,.,.,NJ Office of Clean Energy - www.njcleanenergy.com
2015,965,Atlantic Municipal Utilities,IA,MISO,80,54,.,.,134,0.1,0.0,.,.,0.1,"1,119",562,.,.,"1,681",0.1,0.0,.,.,0.1,13,4,.,.,17,7,5,.,.,12,13,4,.,.,17,7,5,.,.,12,14.000,10.000,.,.,
2015,1009,City of Austin - (MN),MN,MISO,948,"5,228",705,.,"6,881",0.2,1.0,0.0,.,1.2,"9,480","52,581","7,048",.,"69,109",0.2,1.0,0.0,.,1.2,111,456,34,.,601,35,103,8,.,146,111,456,34,.,601,35,103,8,.,147,10.000,10.000,10.000,.,http://www.energyplatforms.com/MN.aspx
2015,1015,Austin Energy,TX,ERCO,"43,558","74,000","24,667",.,"1,42,225",22.2,18.1,7.1,.,47.4,"8,21,280","9,36,791","3,12,263",.,"20,70,334",22.2,18.1,7.1,.,47.4,"8,475","5,589","1,863",.,"15,927","2,814","2,356",785,.,"5,955","8,475","5,589","1,863",.,"15,927","2,814","2,356",785,.,"5,955",18.890,12.659,12.659,0.000,http://austinenergy.com/wps/portal/ae/residential/save-money-and-energy/   
