Utility Level Data - States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility Characteristics,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,Capacity MW,,,,,,Customers,,,,,Storage Capacity (MW),,,,,Storage Customers,,,,,Virtual Capacity (MW),,,,,Virtual Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Year,State,Utility Number,Utility Name,Type,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2016,GA,407,Altamaha Electric Member Corp,AC,0.030,.,.,.,0.030,4,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.030,0.000,0.000,0.000,0.030,4,0,0,0,4,0.000,0.000,0.000,0.000,0.000
2016,GA,562,Amicalola Electric Member Corp,AC,0.123,0.263,0.000,0.000,0.386,25,5,0,0,30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4.868,45.415,0.000,0.000,50.283,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.123,0.263,0.000,0.000,0.386,25,5,0,0,30,4.868,45.415,0.000,0.000,50.283
2016,GA,2903,Canoochee Electric Member Corp,AC,0.010,.,.,.,0.010,5,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.010,0.000,0.000,0.000,0.010,5,0,0,0,5,0.000,0.000,0.000,0.000,0.000
2016,GA,3081,Carroll Electric Member Corp - (GA),AC,0.094,.,.,.,0.094,15,.,.,.,15,0.010,.,.,.,0.010,2,.,.,.,2,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.094,0.000,0.000,0.000,0.094,15,0,0,0,15,0.000,0.000,0.000,0.000,0.000
2016,GA,3108,City of Cartersville - (GA),AC,.,.,0.400,.,0.400,.,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.000,0.400,0.000,0.400,0,0,1,0,1,0.000,0.000,0.000,0.000,0.000
2016,GA,3248,Central Georgia El Member Corp,AC,0.098,0.064,.,.,0.162,18,2,.,.,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,74.000,2.000,.,.,76.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.098,0.064,0.000,0.000,0.162,18,2,0,0,20,74.000,2.000,0.000,0.000,76.000
2016,GA,3843,Coastal Electric Member Corp,DC,0.024,.,.,.,0.024,6,.,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.024,0.000,0.000,0.000,0.024,6,0,0,0,6,0.000,0.000,0.000,0.000,0.000
2016,GA,3916,Cobb Electric Membership Corp,AC,0.341,0.199,.,.,0.540,55,9,.,.,64,.,.,.,.,0.000,.,.,.,.,0,0.449,.,.,.,0.449,147,.,.,.,147,977.478,54.519,.,.,"1,031.997",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.790,0.199,0.000,0.000,0.989,202,9,0,0,211,977.478,54.519,0.000,0.000,"1,031.997"
2016,GA,4432,Coweta-Fayette El Member Corp,AC,0.114,.,.,.,0.114,23,.,.,.,23,0.000,.,.,.,0.000,0,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,28.500,.,.,.,28.500,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.114,0.000,0.000,0.000,0.114,23,0,0,0,23,28.500,0.000,0.000,0.000,28.500
2016,GA,4538,Crisp County Power Comm,AC,.,0.030,.,.,0.030,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10.882,.,.,10.882,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.030,0.000,0.000,0.030,0,1,0,0,1,0.000,10.882,0.000,0.000,10.882
2016,GA,5905,Excelsior Electric Member Corp,AC,0.050,.,.,.,0.050,4,.,.,.,4,0.000,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,15.814,.,.,.,15.814,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.050,0.000,0.000,0.000,0.050,4,0,0,0,4,15.814,0.000,0.000,0.000,15.814
2016,GA,6411,Flint Electric Membership Corp,AC,0.138,0.140,.,.,0.278,23,1,.,.,24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.065,.,.,.,0.065,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.138,0.140,0.000,0.000,0.278,23,1,0,0,24,0.065,0.000,0.000,0.000,0.065
2016,GA,7090,GreyStone Power Corporation,AC,0.140,0.029,.,.,0.169,27,5,.,.,32,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,63.000,25.000,.,.,88.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.140,0.029,0.000,0.000,0.169,27,5,0,0,32,63.000,25.000,0.000,0.000,88.000
2016,GA,7450,Grady Electric Membership Corp,AC,0.047,0.020,.,.,0.067,6,1,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.047,0.020,0.000,0.000,0.067,6,1,0,0,7,0.000,0.000,0.000,0.000,0.000
2016,GA,7887,Habersham Electric Membership Corp,AC,0.205,0.081,.,.,0.286,28,1,.,.,29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.205,0.081,0.000,0.000,0.286,28,1,0,0,29,0.000,0.000,0.000,0.000,0.000
2016,GA,8210,Hart Electric Member Corp,AC,0.150,.,.,.,0.150,23,.,.,.,23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,88.000,.,.,.,88.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.150,0.000,0.000,0.000,0.150,23,0,0,0,23,88.000,0.000,0.000,0.000,88.000
2016,GA,9431,Irwin Electric Membership Corp,AC,0.008,0.099,.,.,0.107,1,2,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.008,0.099,0.000,0.000,0.107,1,2,0,0,3,0.000,0.000,0.000,0.000,0.000
2016,GA,9601,Jackson Electric Member Corp - (GA),DC,0.123,0.157,.,.,0.280,23,2,.,.,25,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.123,0.157,0.000,0.000,0.280,23,2,0,0,25,0.000,0.000,0.000,0.000,0.000
2016,GA,9689,Jefferson Electric Member Corp,AC,0.005,.,.,.,0.005,4,.,.,.,4,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.005,0.000,0.000,0.000,0.005,4,0,0,0,4,0.000,0.000,0.000,0.000,0.000
2016,GA,10624,Southern Rivers Energy,AC,0.059,.,.,.,0.059,9,.,.,.,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.059,0.000,0.000,0.000,0.059,9,0,0,0,9,0.000,0.000,0.000,0.000,0.000
2016,GA,11646,City of Marietta - (GA),AC,0.005,0.100,.,.,0.105,3,3,.,.,6,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,0.600,69.000,.,.,69.600,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.005,0.100,0.000,0.000,0.105,3,3,0,0,6,0.600,69.000,0.000,0.000,69.600
2016,GA,12472,Middle Georgia El Member Corp,AC,0.015,0.030,.,.,0.045,3,1,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.015,0.030,0.000,0.000,0.045,3,1,0,0,4,0.000,0.000,0.000,0.000,0.000
2016,GA,12706,Mitchell Electric Member Corp,AC,0.022,0.120,.,.,0.142,4,6,.,.,10,0.000,0.000,.,.,0.000,.,.,.,.,0,0.000,0.000,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.022,0.120,0.000,0.000,0.142,4,6,0,0,10,0.000,0.000,0.000,0.000,0.000
2016,GA,13934,Ocmulgee Electric Member Corp,AC,0.010,0.005,.,.,0.015,2,1,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.010,0.005,0.000,0.000,0.015,2,1,0,0,3,0.000,0.000,0.000,0.000,0.000
2016,GA,13962,Oconee Electric Member Corp,AC,0.014,0.000,0.000,.,0.014,3,0,0,.,3,0.000,0.000,0.000,.,0.000,0,0,0,.,0,0.000,0.000,0.000,.,0.000,0,0,0,.,0,0.000,0.000,0.000,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.014,0.000,0.000,0.000,0.014,3,0,0,0,3,0.000,0.000,0.000,0.000,0.000
2016,GA,15700,Rayle Electric Membership Corp,DC,0.098,.,.,.,0.098,14,.,.,.,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,51.488,.,.,.,51.488,0.000,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.098,0.000,0.000,0.000,0.098,14,0,0,0,14,51.488,0.000,0.000,0.000,51.488
2016,GA,16674,Satilla Rural Elec Member Corporation,AC,0.140,0.000,0.000,0.000,0.140,14,0,0,0,14,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,1.000,0.000,0.000,0.000,1.000,67,0,0,0,67,139.476,0.000,0.000,0.000,139.476,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,1.140,0.000,0.000,0.000,1.140,81,0,0,0,81,139.476,0.000,0.000,0.000,139.476
2016,GA,16865,Sawnee Electric Membership Corporation,AC,0.395,0.339,0.260,.,0.994,86,11,1,.,98,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.395,0.339,0.260,0.000,0.994,86,11,1,0,98,0.000,0.000,0.000,0.000,0.000
2016,GA,18305,Sumter Electric Member Corp,AC,0.021,0.050,0.000,0.000,0.071,3,1,0,0,4,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.200,0.000,0.000,0.000,0.200,156,0,0,0,156,3.298,4.980,0.000,0.000,8.278,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.221,0.050,0.000,0.000,0.271,159,1,0,0,160,3.298,4.980,0.000,0.000,8.278
2016,GA,18499,Three Notch Elec Member Corp,AC,0.010,0.200,.,.,0.210,1,4,.,.,5,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,0.145,.,.,0.145,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.010,0.200,0.000,0.000,0.210,1,4,0,0,5,0.000,0.145,0.000,0.000,0.145
2016,GA,18956,Tri-County Elec Member Corp,AC,0.033,.,.,.,0.033,6,.,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.101,.,.,.,16.101,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.033,0.000,0.000,0.000,0.033,6,0,0,0,6,16.101,0.000,0.000,0.000,16.101
2016,GA,19219,Diverse Power Incorporated,AC,0.111,.,.,.,0.111,17,.,.,.,17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,46.794,.,.,.,46.794,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.111,0.000,0.000,0.000,0.111,17,0,0,0,17,46.794,0.000,0.000,0.000,46.794
2016,GA,20065,Walton Electric Member Corp,AC,0.230,0.140,.,.,0.370,68,2,.,.,70,.,.,.,.,0.000,.,.,.,.,0,3.500,.,.,.,3.500,"1,568",.,.,.,"1,568",145.452,.,.,.,145.452,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,3.730,0.140,0.000,0.000,3.870,"1,636",2,0,0,"1,638",145.452,0.000,0.000,0.000,145.452
2016,GA,20146,Washington Elec Member Corp,DC,0.005,.,.,.,0.005,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.005,0.000,0.000,0.000,0.005,1,0,0,0,1,0.000,0.000,0.000,0.000,0.000
2016,GA,26218,Little Ocmulgee El Member Corp,AC,0.031,0.020,.,.,0.051,6,2,.,.,8,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,6.250,.,.,6.250,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.031,0.020,0.000,0.000,0.051,6,2,0,0,8,0.000,6.250,0.000,0.000,6.250
2016,GA,31833,Okefenoke Rural El Member Corp,AC,0.084,.,.,.,0.084,14,.,.,.,14,.,.,.,.,0.000,.,.,.,.,0,1.968,.,.,.,1.968,193,.,.,.,193,0.049,.,.,.,0.049,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.052,0.000,0.000,0.000,2.052,207,0,0,0,207,0.049,0.000,0.000,0.000,0.049
2016,GA,40212,Colquitt Electric Membership Corp,AC,0.089,.,.,.,0.089,11,.,.,.,11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,65.000,.,.,.,65.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.089,0.000,0.000,0.000,0.089,11,0,0,0,11,65.000,0.000,0.000,0.000,65.000
2016,HI,8287,Hawaii Electric Light Co Inc,AC,54.340,15.259,1.466,.,71.065,"10,567",563,32,.,"11,162",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.057,0.016,0.167,.,0.240,17,2,3,.,22,.,.,.,.,0.000,.,.,0.049,.,0.049,.,.,1,.,1,.,.,.,.,0.000,54.397,15.275,1.682,0.000,71.354,"10,584",565,36,0,"11,185",0.000,0.000,0.000,0.000,0.000
2016,HI,10071,Kauai Island Utility Cooperative,AC,13.295,7.937,0.000,0.000,21.232,"3,256",293,0,0,"3,549",0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,"15,793.843","6,139.256",0.000,0.000,"21,933.099",0.008,0.001,0.000,0.000,0.009,5,1,0,0,6,6.407,0.010,0.000,0.000,6.417,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,13.303,7.938,0.000,0.000,21.241,"3,261",294,0,0,"3,555","15,800.250","6,139.266",0.000,0.000,"21,939.516"
2016,HI,11843,Maui Electric Co Ltd,AC,58.000,21.470,.,.,79.470,"10,309",771,.,.,"11,080",0.176,0.033,.,.,0.209,22,1,.,.,23,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.021,0.053,.,.,0.074,6,4,.,.,10,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,58.021,21.523,0.000,0.000,79.544,"10,315",775,0,0,"11,090",0.000,0.000,0.000,0.000,0.000
2016,HI,19547,Hawaiian Electric Co Inc,AC,213.474,45.279,.,.,258.753,"44,696","1,255",.,.,"45,951",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.001,0.024,.,.,0.025,2,3,.,.,5,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,213.475,45.303,0.000,0.000,258.778,"44,698","1,258",0,0,"45,956",0.000,0.000,0.000,0.000,0.000
2016,IA,329,"Allamakee-Clayton El Coop, Inc",AC,0.922,0.054,.,.,0.976,68,2,.,.,70,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,501.830,37.115,.,.,538.945,0.007,.,.,.,0.007,3,.,.,.,3,3.212,.,.,.,3.212,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.929,0.054,0.000,0.000,0.983,71,2,0,0,73,505.042,37.115,0.000,0.000,542.157
2016,IA,554,City of Ames - (IA),AC,0.097,0.669,.,.,0.766,17,113,.,.,130,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.097,0.669,0.000,0.000,0.766,17,113,0,0,130,0.000,0.000,0.000,0.000,0.000
2016,IA,942,Atchison-Holt Electric Coop,AC,0.023,.,.,.,0.023,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13.203,.,.,.,13.203,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.023,0.000,0.000,0.000,0.023,1,0,0,0,1,13.203,0.000,0.000,0.000,13.203
2016,IA,1869,City of Bloomfield - (IA),DC,.,0.100,.,.,0.100,.,3,.,.,3,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.100,0.000,0.000,0.100,0,3,0,0,3,0.000,0.000,0.000,0.000,0.000
2016,IA,2652,Butler County Rural Elec Coop - (IA),AC,0.012,.,.,.,0.012,2,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.014,.,.,.,0.014,0.015,.,0.040,.,0.055,2,.,1,.,3,0.011,.,0.000,.,0.011,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.027,0.000,0.040,0.000,0.067,4,0,1,0,5,0.025,0.000,0.000,0.000,0.025
2016,IA,3203,Cedar Falls Utilities,AC,0.070,0.006,0.009,.,0.085,13,1,1,.,15,0.000,0.000,0.000,.,0.000,0,0,0,.,0,.,.,.,.,0.000,.,.,.,.,0,39.351,1.689,7.633,.,48.673,0.007,.,.,.,0.007,3,.,.,.,3,1.023,.,.,.,1.023,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.077,0.006,0.009,0.000,0.092,16,1,1,0,18,40.374,1.689,7.633,0.000,49.696
2016,IA,3722,Clarke Electric Coop Inc - (IA),DC,0.071,.,.,.,0.071,5,.,.,.,5,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,40.599,.,.,.,40.599,0.010,.,.,.,0.010,1,.,.,.,1,0.047,.,.,.,0.047,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.081,0.000,0.000,0.000,0.081,6,0,0,0,6,40.646,0.000,0.000,0.000,40.646
2016,IA,4040,Calhoun County Elec Coop Assn,AC,0.015,.,.,.,0.015,2,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.020,.,.,.,0.020,2,.,.,.,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.035,0.000,0.000,0.000,0.035,4,0,0,0,4,0.000,0.000,0.000,0.000,0.000
2016,IA,5588,East-Central Iowa Rural Elec Coop,AC,0.076,0.118,.,.,0.194,8,3,.,.,11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8.278,0.000,.,.,8.278,0.072,.,.,.,0.072,6,.,.,.,6,2.405,.,.,.,2.405,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.148,0.118,0.000,0.000,0.266,14,3,0,0,17,10.683,0.000,0.000,0.000,10.683
2016,IA,5605,Eastern Iowa Light & Power Coop,AC,0.488,0.578,.,.,1.066,53,29,.,.,82,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.065,0.010,.,.,0.075,6,2,.,.,8,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.553,0.588,0.000,0.000,1.141,59,31,0,0,90,0.000,0.000,0.000,0.000,0.000
2016,IA,6579,City of Forest City- (IA),AC,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,0.750,.,.,0.750,.,1,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.750,0.000,0.000,0.750,0,1,0,0,1,0.000,0.000,0.000,0.000,0.000
2016,IA,6722,Franklin Rural Electric Coop - (IA),DC,0.010,0.040,.,.,0.050,1,1,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5.353,15.240,.,.,20.593,0.065,.,.,.,0.065,3,.,.,.,3,15.373,.,.,.,15.373,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.075,0.040,0.000,0.000,0.115,4,1,0,0,5,20.726,15.240,0.000,0.000,35.966
2016,IA,7303,Raccoon Valley Electric Cooperative,DC,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.020,.,.,.,0.020,2,.,.,.,2,9.860,.,.,.,9.860,0.097,.,.,.,0.097,6,.,.,.,6,15.833,.,.,.,15.833,0.117,0.000,0.000,0.000,0.117,8,0,0,0,8,25.693,0.000,0.000,0.000,25.693
2016,IA,7750,Guthrie County Rural E C A,DC,0.004,.,0.117,.,0.121,1,.,1,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,0.223,.,0.223,.,.,4,.,4,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.004,0.000,0.340,0.000,0.344,1,0,5,0,6,0.000,0.000,0.000,0.000,0.000
2016,IA,8283,Harrison County Rrl Elec Coop,AC,0.085,.,.,.,0.085,9,.,.,.,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.025,.,.,.,0.025,4,.,.,.,4,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.110,0.000,0.000,0.000,0.110,13,0,0,0,13,0.000,0.000,0.000,0.000,0.000
2016,IA,8298,Hawkeye Tri-County El Coop Inc,DC,1.303,0.908,.,.,2.211,116,33,.,.,149,.,.,.,.,0.000,.,.,.,.,0,0.025,.,.,.,0.025,30,.,.,.,30,808.973,563.797,.,.,"1,372.770",0.100,.,.,.,0.100,10,.,.,.,10,54.901,.,.,.,54.901,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.428,0.908,0.000,0.000,2.336,156,33,0,0,189,863.874,563.797,0.000,0.000,"1,427.671"
