Utility Level Data - States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility Characteristics,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,Capacity MW,,,,,,Customers,,,,,Storage Capacity (MW),,,,,Storage Customers,,,,,Virtual Capacity (MW),,,,,Virtual Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Year,State,Utility Number,Utility Name,Type,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2016,AL,17646,"Southern Pine Elec Coop, Inc",AC,0.015,.,.,.,0.015,2,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.001,.,.,.,0.001,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.016,0.000,0.000,0.000,0.016,3,0,0,0,3,0.000,0.000,0.000,0.000,0.000
2016,AL,30517,"Pioneer Electric Coop, Inc - (AL)",AC,0.015,.,.,.,0.015,2,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.015,0.000,0.000,0.000,0.015,2,0,0,0,2,0.000,0.000,0.000,0.000,0.000
2016,AR,814,Entergy Arkansas Inc,DC,0.890,0.430,.,.,1.320,160,28,.,.,188,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.002,0.058,.,.,0.060,1,4,.,.,5,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.892,0.488,0.000,0.000,1.380,161,32,0,0,193,0.000,0.000,0.000,0.000,0.000
2016,AR,817,Arkansas Valley Elec Coop Corp,AC,0.172,0.017,.,.,0.189,32,1,.,.,33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17.735,.,.,.,17.735,0.006,.,.,.,0.006,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.178,0.017,0.000,0.000,0.195,33,1,0,0,34,17.735,0.000,0.000,0.000,17.735
2016,AR,1586,City of Bentonville - (AR),AC,0.200,0.180,.,.,0.380,7,1,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.200,0.180,0.000,0.000,0.380,7,1,0,0,8,0.000,0.000,0.000,0.000,0.000
2016,AR,2678,C & L Electric Coop Corp,DC,0.030,.,.,.,0.030,6,.,.,.,6,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.030,0.000,0.000,0.000,0.030,6,0,0,0,6,0.000,0.000,0.000,0.000,0.000
2016,AR,3093,Carroll Electric Coop Corp - (AR),DC,0.714,.,.,.,0.714,121,.,.,.,121,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.016,.,.,.,0.016,3,.,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.730,0.000,0.000,0.000,0.730,124,0,0,0,124,0.000,0.000,0.000,0.000,0.000
2016,AR,4280,Conway Corporation,AC,0.023,.,.,.,0.023,8,.,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.023,0.000,0.000,0.000,0.023,8,0,0,0,8,0.000,0.000,0.000,0.000,0.000
2016,AR,5860,Empire District Electric Co,DC,0.016,.,.,.,0.016,2,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.301,.,.,.,2.301,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.016,0.000,0.000,0.000,0.016,2,0,0,0,2,2.301,0.000,0.000,0.000,2.301
2016,AR,6342,First Electric Coop Corp,AC,0.334,0.000,0.000,0.000,0.334,55,0,0,0,55,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.010,1,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.344,0.000,0.000,0.000,0.344,56,0,0,0,56,0.000,0.000,0.000,0.000,0.000
