Utility Characteristics,,,,,Reporting Year Incremental Annual Savings,,,,,,,,,,Incremental Life Cycle Savings,,,,,,,,,,Reporting Year Incremental Cost,,,,,,,,,,Incremental Life Cycle Costs,,,,,,,,,,Weighted Average Life,,,,
,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2014,122,Village of Arcade - (NY),NY,NYIS,223,77,.,.,300,38.2,13.0,.,.,51.2,"2,230",765,.,.,"2,995",40.1,13.1,.,.,53.2,31,18,.,.,49,15,2,.,.,17,31,18,.,.,49,15,12,.,.,27,10.000,5.000,.,.,
2014,150,Adrian Public Utilities Comm,MN,WAUE,46,40,4,0,90,0.0,0.0,0.0,0.0,0.0,519,458,41,0,"1,018",0.0,0.0,0.0,0.0,0.0,3,1,2,0,6,2,1,1,0,4,3,1,2,0,6,2,1,1,0,4,10.600,12.000,12.000,0.000,
2014,162,Aiken Electric Coop Inc,SC,SC,63,.,.,.,63,0.2,.,.,.,0.2,"1,253",.,.,.,"1,253",0.2,.,.,.,0.2,0,.,.,.,0,51,.,.,.,51,0,.,.,.,0,51,.,.,.,51,20.000,.,.,.,
2014,189,PowerSouth Energy Cooperative,AL,AEC,"6,775",.,.,.,"6,775",1.6,.,.,.,1.6,"2,58,731",.,.,.,"2,58,731",1.7,.,.,.,1.7,979,.,.,.,979,388,.,.,.,388,"1,767",.,.,.,"1,767",803,.,.,.,803,15.000,.,.,.,
2014,195,Alabama Power Co,AL,SOCO,"8,822","5,821","1,593",.,"16,236",2.1,6.9,0.0,.,9.0,"82,235","36,211","3,347",.,"1,21,793",2.2,3.5,0.1,.,5.8,274,.,.,.,274,"1,245",576,278,.,"2,099",274,.,.,.,274,"1,245",576,278,.,"2,099",12.000,13.000,5.000,.,
2014,207,City of Alameda,CA,CISO,445,496,.,.,941,0.0,0.1,.,.,0.1,"1,157","5,991",.,.,"7,148",0.4,0.9,.,.,1.3,37,87,.,.,124,189,438,.,.,627,37,87,.,.,124,189,438,.,.,626,12.200,14.100,.,.,http://www.ncpa.com/images/stories/Energy%20Efficiency/2015%20FINAL%20SB%201037%20Report.pdf 
2014,295,City of Alexandria - (MN),MN,MISO,290,965,"2,896",.,"4,151",0.1,0.3,0.8,.,1.2,"3,968","12,742","38,225",.,"54,935",0.1,0.3,0.8,.,1.2,26,67,202,.,295,23,60,179,.,262,26,67,202,.,295,23,60,179,.,262,13.700,13.200,13.200,.,
2014,309,City of Algona - (IA),IA,WAUE,221,444,.,.,665,0.2,0.1,.,.,0.3,"4,773","8,205",.,.,"12,978",0.2,0.1,.,.,0.3,46,25,.,.,71,21,26,.,.,47,46,25,.,.,71,21,26,.,.,47,22.000,18.000,.,20.000,
2014,329,"Allamakee-Clayton El Coop, Inc",IA,MISO,471,737,0,0,"1,208",0.0,0.0,0.0,0.0,0.0,"6,350","8,072",0,0,"14,422",1.0,0.3,0.0,0.0,1.3,57,15,0,0,72,115,6,0,0,121,57,74,0,0,131,115,11,0,0,126,13.481,23.800,0.000,.,
