GeoFIPS,GeoName,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
20000,Kansas,74643.2,78242.3,81609.7,85990.5,88869.7,91359,95236.3,98913.7,105343.9,113831.8,123608.9,129223.2,126049.7,129235.7,136747.1,141812.1,144999.3,150276.1,155699,162144.5,166273.6,173373,176068.8,175385.6,188993.3,213368.8,224851.3,230522.1
21000,Kentucky,104878.1,110020.1,115592.7,114549.6,117767.9,122731.2,128289.6,135694.5,144914.9,153009.8,156900,160700.2,157440.1,166656.3,171238.1,178370.6,184920.6,188326.4,194621.2,197944.8,203564,210509.1,220678.8,218948.6,238693.7,262586.6,283267.7,295375.3
22000,Louisiana,116423.1,120228.8,125667.3,132375.8,138204.3,140082.8,155198.7,170999.6,199314.2,207249.8,203771.3,213803.5,206111.5,226555.6,230518.7,235960.9,231652.7,240965,234324.2,227440.3,239830.7,256444.4,257499,233652,273063.3,304299.3,318044.3,329172.8
23000,Maine,30574.2,32412.8,34714.7,37222,38925.7,40664.1,42493.4,45233.1,47028.1,48889.3,50291.3,51001.9,51451.2,52802.5,53104.5,54018.5,54924.8,56537.4,58755.8,61092.2,63000.6,66216,69708.7,72309.7,79407.6,86310.6,93743.8,99174.1
24000,Maryland,159167.8,169360.1,179779.6,191430.2,205276,217001.4,226803.4,243449.8,261795.3,273791,282618.2,292908.3,298282.8,313930.5,324920.9,331869,339895.8,351743.1,367314.1,386496.4,399714.5,410771.8,419391.6,413804.5,447714.3,481861.4,515035.9,546028.4
25000,Massachusetts,236435.6,247686.8,262868.8,287091.4,294876.4,299915.8,309736.1,324919,340637.8,358418.3,377985.6,387923.4,388963.9,409270,423684.9,441373.9,452580.4,469824.9,497767,514108,530129.4,559605,588069.5,592855.5,650308.8,696323.1,737867.4,778523.4
26000,Michigan,299832.7,311088.2,337150.2,351879.5,349127.5,363372.1,376123.8,388764.6,402828.8,402537.3,410613,391633.6,371707,393179.6,408354.1,426141.1,441470.8,456123.5,479222.7,494752.5,505101.5,525240.8,540237.3,530161.3,573329.4,624173.2,676030.8,702466.9
27000,Minnesota,157345.9,167867.4,176780.4,192389.5,196869.4,204061.1,215975.1,231949.4,244635.4,252357.6,261250.7,268771.5,262628.8,274649.2,287070.8,298641.4,311752.1,324701.5,336762,345248.8,354721.9,372439.2,384850.2,378969.4,416141.9,457393.8,483222,507687.8
28000,Mississippi,58517.2,61332.3,64276.5,66051.5,67750.2,69704.9,74418.4,78680.1,82991.6,87596.7,91876.5,95179.3,92378,94788.3,96799.1,100905.4,103042.6,105219.5,106623.9,107795.4,110281.4,113166.4,116135.7,117441.6,130404.6,141724.2,151511.9,158192.4
29000,Missouri,163101.1,170122.2,178215.9,187012.8,190388.7,197399,206005.2,216977.5,227594.6,235816.9,244085.3,256431.1,254306.2,262013.4,263330,272482.4,282659.7,289340.7,299597.7,304143.3,311273.8,320451.6,334750.2,335970.8,366193.1,397536.9,428887.3,448713.7
