Utility Characteristics,,,,,Reporting Year Incremental Annual Savings,,,,,,,,,,Incremental Life Cycle Savings,,,,,,,,,,Reporting Year Incremental Cost,,,,,,,,,,Incremental Life Cycle Costs,,,,,,,,,,Weighted Average Life,,,,
,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2017,122,Village of Arcade - (NY),NY,NYIS,19,590,23,.,631,3.2,10.1,3.8,.,17.1,"2,913",515,340,.,"3,768",6.6,16.8,5.8,.,29.2,22,190,29,.,241,20,9,0,.,29,46,16,8,.,70,24,11,0,.,35,10.000,12.000,12.000,.,
2017,150,Adrian Public Utilities Comm,MN,MISO,102,140,17,0,259,0.0,0.0,0.0,0.0,0.0,"1,475","1,679",208,0,"3,361",0.0,0.0,0.0,0.0,0.0,6,5,1,0,11,2,2,0,0,4,6,5,1,0,11,2,2,0,0,4,14.500,14.500,14.500,0.000,
2017,189,PowerSouth Energy Cooperative,AL,AEC,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,915,.,.,.,915,556,.,.,.,556,"1,892",.,.,.,"1,892","1,021",.,.,.,"1,021",15.000,.,.,.,
2017,195,Alabama Power Co,AL,SOCO,"6,120","4,403","1,088",0,"11,611",2.5,3.5,0.0,0.0,6.0,"75,427","37,145","3,500",0,"1,16,073",1.7,3.9,0.0,0.0,5.6,136,0,0,0,136,"2,289",748,271,0,"3,308",136,0,0,0,136,"2,289",748,271,0,"3,308",10.980,13.100,5.000,0.000,
2017,207,City of Alameda,CA,CISO,753,"1,541",.,.,"2,295",0.0,0.3,.,.,0.3,"1,578","22,057",.,.,"23,635",0.0,0.3,.,.,0.3,21,361,.,.,382,294,428,.,.,722,21,361,.,.,382,294,428,.,.,722,20.930,14.310,.,.,
2017,295,City of Alexandria - (MN),MN,MISO,367,"1,421","5,039",.,"6,827",0.1,0.3,1.0,.,1.3,"5,373","17,572","62,302",.,"85,248",0.1,0.3,1.0,.,1.3,41,78,277,.,397,14,26,92,.,131,41,78,277,.,397,14,26,92,.,131,14.700,14.700,14.700,.,
2017,309,City of Algona - (IA),IA,SWPP,50,285,69,.,404,0.1,0.1,0.0,.,0.1,"1,069","5,727","1,358",.,"8,154",0.1,0.1,0.0,.,0.1,46,49,9,.,104,1,8,2,.,12,46,49,9,.,104,1,8,2,.,12,21.270,20.120,19.650,.,
2017,329,"Allamakee-Clayton El Coop, Inc",IA,MISO,"1,554",308,0,0,"1,862",0.2,0.1,0.0,0.0,0.3,"21,739","4,338",0,0,"26,077",0.2,0.1,0.0,0.0,0.3,72,11,0,0,83,19,1,0,0,20,72,11,0,0,83,19,1,0,0,20,13.989,14.084,0.000,0.000,
2017,407,Altamaha Electric Member Corp,GA,SOCO,6,.,226,.,233,1.1,.,1.1,.,2.3,6,.,226,.,233,1.1,.,1.1,.,2.3,.,.,.,.,.,5,.,5,.,10,5,.,5,.,9,5,.,5,.,9,1.000,.,1.000,.,
2017,554,City of Ames - (IA),IA,MISO,"2,549","1,697",.,.,"4,246",1.6,1.4,.,.,3.0,"38,159","28,442",.,.,"66,601",1.3,1.0,.,.,2.3,513,531,.,.,"1,044",171,171,.,.,342,513,531,.,.,"1,044",171,171,.,.,342,14.970,16.760,.,.,
2017,590,City of Anaheim - (CA),CA,CISO,"3,103","16,444","7,048",.,"26,595",1.0,2.7,1.2,.,4.9,"25,630","1,23,333","52,857",.,"2,01,819",1.0,2.7,1.2,.,4.9,"1,720","1,651",708,.,"4,078",264,345,148,.,757,"1,720","1,651",708,.,"4,078",264,345,148,.,757,8.500,7.500,7.500,.,
2017,691,City of Anoka,MN,MISO,350,"3,688",.,.,"4,038",0.1,3.0,.,.,3.1,"7,300","15,412",.,.,"22,712",0.5,1.5,.,.,2.0,29,419,.,.,448,111,14,.,.,125,454,"1,194",.,.,"1,648","1,394",148,.,.,"1,542",7.000,7.000,.,.,
2017,733,Appalachian Power Co,VA,PJM,"9,482","20,119","2,235",0,"31,836",5.2,2.9,0.3,0.0,8.4,"73,799","2,73,920","30,435",0,"3,78,154",5.2,2.9,0.3,0.0,8.4,"1,300","1,116",124,0,"2,540","3,265",291,32,0,"3,588","1,300","1,116",124,0,"2,540","3,265",291,32,0,"3,588",7.800,13.600,13.600,0.000,
2017,733,Appalachian Power Co,WV,PJM,"16,463","18,708","4,621",0,"39,792",2.5,2.8,0.7,0.0,6.0,"1,15,241","2,61,912","64,694",0,"4,41,847",2.5,2.8,0.7,0.0,6.0,891,"1,531",383,0,"2,805","3,356","1,269",317,0,"4,942",891,"1,531",383,0,"2,805","3,356","1,269",317,0,"4,942",7.000,14.000,14.000,0.000,
2017,803,Arizona Public Service Co,AZ,AZPS,"1,94,817","2,61,209",.,.,"4,56,026",41.5,41.7,.,.,83.2,"22,03,529","36,81,393",.,.,"58,84,922",41.5,41.7,.,.,83.2,"16,299","20,399",.,.,"36,697","14,021","12,506",.,.,"26,527","16,299","20,399",.,.,"36,697","14,021","12,506",.,.,"26,527",11.400,14.200,.,.,
2017,814,Entergy Arkansas Inc,AR,MISO,"94,715","1,12,955","57,322",.,"2,64,992",67.0,17.6,7.6,.,92.2,"12,24,240","15,68,533","7,59,785",.,"35,52,558",67.0,17.6,7.6,.,92.2,"14,220","14,864","8,586",.,"37,671","5,235","5,921","3,413",.,"14,569","14,220","14,864","8,586",.,"37,671","5,235","5,921","3,413",.,"14,569",12.331,14.151,13.756,.,http:www.apscservices.info/eeannualreports.aspx
2017,828,City of Arlington - (MN),MN,MISO,5,227,.,.,232,.,.,.,.,.,5,227,.,.,232,.,.,.,.,.,1,26,.,.,27,.,.,.,.,.,1,26,.,.,27,.,.,.,.,.,1.000,1.000,.,.,
2017,924,"Associated Electric Coop, Inc",MO,SWPP,896,"10,114",.,.,"11,010",0.4,3.5,.,.,3.9,"25,348","83,978",.,.,"1,09,326",9.9,15.6,.,.,25.5,"2,497",652,.,.,"3,149",.,.,.,.,.,"39,991","3,916",.,.,"43,907",.,.,.,.,.,4.690,18.000,.,.,
